name,prompt,negative_prompt
photo-muted-01,"epic realistic, faded, neutral colors, (dark shot:1.4), 80mm, moles skin, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)","orange, oversaturated, faint, faded, grayscale, black and white, b&w, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
photo-bw-01-neg," Leica black and white, greyscale, by Lee Jeffries, details","orange, oversaturated, faint, faded, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
photo-bw-analog-neg-01,"  (portrait:1.2), commoner style, analog, Leica black and white, greyscale, by Lee Jeffries, details, raw photo, kodak, film grain","(doll:1.2), (cgi:0.9), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, 3d, illustration, cartoon
"
polaroid-01,"black and white film photography, Leica lens, raw,  artistic accidental photography, polaroid raw, cinematic realistic screenshot",
polaroid-01-neg,"woman portrait, black and white film photography, Leica lens, raw,  artistic accidental photography, polaroid raw, cinematic realistic screenshot","framed, frames, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, 3d, illustration, cartoon
"
photo-bw-02-neg,"black and white film photography, Leica lens, raw,  artistic accidental photography, raw, cinematic realistic screenshot","(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, 3d, illustration, cartoon
"
photo-bw-03-neg,"(black and white:1.1) film photography, Leica lens, raw,  artistic accidental photography, raw, cinematic realistic screenshot, epic realistic, faded, neutral tones, (dark shot:1.4), 80mm, moles skin, soft light, sharp, exposure blend, medium shot, bokeh, (hdr:1.4), high contrast, (cinematic, teal and orange:0.85), (muted colors, dim colors, soothing tones:1.3), low saturation, (hyperdetailed:1.2), (noir:0.4)","(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, 3d, illustration, cartoon, orange colors
"
photo-sepia-01,"raw photo, color sepia kodak, film grain, commoner style, absurdres, high detail
",
vintage-01,"happy woman,realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece
",
vintage-01-neg,"realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece
"," bad anatomy, wrong anatomy, "
vintage-portrait,"realistic glamour photo, raw hasselblad leica nikon photo, analog color kodak, film grain, commoner style, absurdres, high detail, simple plain color background, masterpiece, (textured skin, skin pores:1.2), (moles:0.6), (imperfect skin:1.1), intricate details, goosebumps, flawless face, (light freckles:0.3), ((photorealistic):1.1), (raw, 8k:1.2), dark, muted colors, slate atmosphere, RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, (dry skin:0.6), shot with cinematic camera, detailed skin texture, (blush:0.4), (goosebumps:0.5), subsurface scattering
"," bad anatomy, wrong anatomy"
fullbody-neg,"((Full-Body Shot)), (textured skin, skin pores:1.2), (moles:0.8), (imperfect skin:1.1), intricate details, goosebumps, flawless face, (light freckles:0.9), ((photorealistic):1.1), (raw, 8k:1.2), dark, muted colors, slate atmosphere, RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera, detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering","3d, cartoon, (low quality:1.5),  duplicate, multiple, disfigured, old, ugly,, canvas frame, (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, 3d render
"
fullbody-neg-02,"masterpiece, (textured skin, skin pores:1.2), (moles:0.8), (imperfect skin:1.1), intricate details, goosebumps, ((photorealistic):1.1), (raw, 8k:1.2), dark, muted colors, slate atmosphere, RAW candid cinema, 16mm, color graded portra 400 film, remarkable color,  shot with cinematic camera, detailed skin texture, (blush:0.5), subsurface scattering","3d, cartoon, (low quality:1.5), child, duplicate, multiple, disfigured, old, ugly,, canvas frame, (high contrast:1.2), (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((b&w)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands"
