name,prompt,negative_prompt
HYPER-SDXL 8,{prompt} . <lora:Hyper-SDXL-8steps-CFG-lora:0.76>,
HYPER-SDXL 12,{prompt} . <lora:Hyper-SDXL-12steps-CFG-lora:0.76>,
HYPER-SD15 12,{prompt} .  <lora:Hyper-SD15-12steps-CFG-lora:0.125>,
Style: Enhance,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy"
Style: Anime,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast"
Style: Photographic,"cinematic photo {prompt} . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
Style: Digital art,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly"
Style: Comic book,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo"
Style: Fantasy art,"ethereal fantasy concept art of {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
Style: Analog film,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
Style: Neonpunk,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
Style: Isometric,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
Style: Lowpoly,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
Style: Origami,"origami style {prompt} . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
Style: Line art,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
Style: Craft clay,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo"
Style: Cinematic,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget Hollywood movie, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
Style: 3d-model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
Style: pixel art,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
Style: Texture,texture {prompt} top down close-up,"ugly, deformed, noisy, blurry"
ProStyle: Archviz,"real estate photography style {prompt} . professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","bad art , dark, blurry, unappealing, noisy, unprofessional"
ProStyle: Ad,"advertising poster style {prompt} . Professional, modern, product-focused, commercial, eye-catching, highly detailed","bad art , dark, blurry, unappealing, noisy, unprofessional"
ProStyle: Auto,"automotive advertisement style {prompt} . sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","bad art, noisy, blurry, unattractive, sloppy, unprofessional"
ProStyle: Food,"food photography style {prompt} . appetizing, professional, culinary, high-resolution, commercial, highly detailed","unappetizing, sloppy, unprofessional, noisy, blurry"
ProStyle: Luxury,"luxury product style {prompt} . elegant, sophisticated, high-end, luxurious, professional, highly detailed","bad art, cheap, noisy, blurry, unattractive, amateurish, sloppy, unprofessional"
PX: Analog,"{prompt}, analog style (Analog photo by), dreamy, (prismatic lighting, high quality, film grain)","3d, digital"
PX: Analog Balanced,"{prompt}, hdr, wide angle, night , vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, key visual, hdr,  beefy, dark background  , by,  form, blue orange yellow theme","convoluted, many lights"
PX: LUT,"realistic, cinematic film still of {prompt},  flyweight, hdr, wide angle, night , vignette, highly detailed, key visual, hdr, beefy, simple background, by, form, cold orange green red theme,",
PX: Glamour,"{prompt}. women, beauty, imperfection","ugliness, nonsense, perfection"
PX: Colorista,"{prompt}, key visual, hdr, simple background, by, form, orange green red blue theme",
PX: Solitair,"{prompt}, beautiful, imperfect, indecent, esthetics, homeliness","ugly, perfect, decent, flamboyance, kitch"
PX: Master,"{prompt}, perfect, perfection, imperfections, natural","masterpiece, perfect, perfection, innatural, twisted, anatomy, stretched, stretching"
PX: Grit,"{prompt}, grit, rust, dust, weary, rusty dusty, surface scratches, rugged, used","new, unused"
PX: Studio Closeup,"close-up, editorial photograph of a {prompt} highly detailed face, background inside dark, moody, POV, by","ugly, deformed, canvas frame, mount, cartoon, 3d, ((bad art)), ((deformed)),((extra limbs))"
PX: Studio Product,"product photo {prompt} closeup, with photo lens cracked and greasy, realistic concept","barnum-negative, sfw human man woman watermark logo, deformed, noisy, disfigured"
PX: Studio Black," ((Black background)), high definition, intricate, {prompt}, rimlights, backlight",",,"
PX: Studio Rimlights,"professional photo {prompt} rim light, cinematic, atmospheric, hard rim light. upward pov. depth of field. hdr, realistic concept","barnum-negative, watermark logo, deformed, noisy, disfigured"
PX: Studio Backlights,"professional studio photo {prompt} backlight, atmospheric, hard rim light, absurdres, hdr, realistic concept","barnum-negative, watermark logo, deformed, noisy, disfigured"
PX: Studio Spotlights,"professional photo {prompt}, hard spotlight, dark room, volumetric, atmospheric, soft rim light, absurdres, hdr, realistic","barnum-negative, watermark logo, deformed, noisy, disfigured"
PX: Studio Warm/Cold,"professional studio product photo {prompt}, left warm orange-light, right cold blue-light, volumetric, dramatic, absurdres, hdr, realistic","barnum-negative, watermark logo, deformed, noisy, disfigured"
PX: Portrait,"natural light and tones, traditional media blueprint editorial photo, Leica photography {prompt}, camera f1.6 lens, (highly detailed face:1.4), realistic textures and colors","barnum-negative, deformed, noisy, disfigured, frame, fixture, picture mount, mount, image borders, framing, watermark, bad hands, bad feet, bad fingers"
PX: Natural,"natural light and tones, {prompt} , realistic textures and colors","barnum-negative, deformed, noisy, disfigured, frame, fixture, picture mount, mount, image borders, framing, watermark, bad hands, bad feet, bad fingers"
PX: Nature,"{prompt} professional photo, detailed photo of unique, National Geographic style, scientific magazine editorial realism, hasselblad photo, detailed surface structure and tones and colors, juicy lush rusty dusty grit  theme, single accent blue orange violet green theme, rim light, cinematic, atmospheric, hard rim light. upward pov. depth of field. hdr, realistic concept, exploration","((watermark)), text, signature, border, framing, watermark logo, deformed, noisy, disfigured, frame"
PX: Botanical,"{prompt} professional photo, detailed photo of unique, National Geographic style, scientific magazine editorial realism, hasselblad photo, detailed surface structure and tones and colors, juicy lush rusty dusty grit  theme single accent blue orange violet green theme, plant rim light, cinematic, atmospheric, hard rim light. upward pov. depth of field. hdr, realistic concept, botanical anatomy exploration","watermark, text, signature, watermark-logo, deformed, noisy, disfigured, frame"
PX: Landscape,"lush, natural light and tones, {prompt}, epic, monumental, realistic textures and colors","barnum-negative, deformed, noisy, disfigured, frame, fixture, picture mount, mount, image borders, framing, watermark, bad hands, bad feet, bad fingers"
PX: Grayscale,"black and white film photography, Leica lens, raw, {prompt}",artistic accidental photography
PX: Cinema,"cinematic epic realistic photo,  {prompt}, photorealism, golden hour, Crewson style shadowing, 8k resolution, analog color kodak, film grain, neutral colors, ","barnum-negative, deformed, noisy, disfigured"
PX: Barnum Atelier,barnum-atelier {prompt},"barnum-negative, deformed, noisy, disfigured"
PX: Barnum,barnum {prompt},"barnum-negative, deformed, noisy, disfigured, frame, fixture, picture mount, mount, image borders, framing, watermark, bad hands, bad feet, bad fingers"
PX: Barnum Sepia,barnum-sepia {prompt},"barnum-negative, deformed, noisy, disfigured, watermark, logo, third party watermark"
PX: Barnum Collodion,barnum-collodion {prompt},"barnum-negative, deformed, noisy, disfigured"
PX: Barnum Ambrotype,barnum-ambrotype {prompt},"barnum-negative, deformed, noisy, disfigured. frame, fixture, picture mount, mount, image borders, framing, watermark, bad hands, bad feet, bad fingers"
PX: Barnum Silver,barnum-silver {prompt},"barnum-negative, deformed, noisy, disfigured"
PX: Barnum Waxmuseum,barnum-waxmuseum {prompt},"barnum-negative, deformed, noisy, disfigured, disfigured, bad-hands, bad-anatomy"
PX: Barnum Color,barnum-color {prompt},"barnum-negative, deformed, noisy, disfigured, bad hands, bad anatomy"
PX: Natural Portraits,"a gorgeous {prompt} . fine textures,high quality textures of materials, volumetric textures, natural textures, (natural colors, correct white balance, color correction, dehaze,clarity),RAW,vivid colours,intricate,photo shadows,photographic","(high contrast, over saturated, glossy:1.1), (cartoon, 3d, 3d render, Photoshop, sketch, sketches, video game, draw, paint, painting, render, cgi, computer graphics, anime, manga, 2d art, 3d art, illustration:1.1), (canvas frame, watermark, signature, username, artist name:1.1),pixelated, low res, jpeg artifacts, Compression artifacts, bad art, worst quality, low resolution, low quality, plastic, fake, bad limbs, conjoined, featureless, bad features, incorrect objects, watermark, signature, logo"
PX/NEG: Anatomy,{prompt},"irrational-anatomy, unknown-otherworldly-alien-like-deformations, unknown-otherworldly-alien-like-limbs, unknown-otherworldly-alien-like-bodies, unknown-otherworldly-alien-like-creatures, bw, monochrome, oppai-loli, unknown-otherworldly-alien-like-anatomy, more-limbs-than-necessary, unknown-otherworldly-alien-like-anatomy-poses, unknown-otherwordly-alien-like-anatomy-gestures, unknown-otherworldly-alien-like-anatomy-distortions, unknown-otherworldly-alien-like-limbs, unknown-otherworldly-alien-like-anatomy-numbers, unknown-otherworldly-alien-like-limb-numbers, unknown-otherworldly-alien-like-distortions comparison"
PX/NEG: Experimental,{prompt} solid-best-physical-appearance-perfect::1.1,not-solid-best-physical-appearance-perfect::2.1
PX/NEG: Standard,{prompt},"((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), [out of frame], ((watermark)),((frame)),((signature)), borders, white border, extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), (fused fingers), (too many fingers), (((long neck)))"
PX/NEG: SimplePose,"{prompt} professional, simple","(((unprofessional-bodies))), (((unprofessional-pose)))"
PX/NEG: SimpleHand,"{prompt} professional, simple, perfect fingernails, nice hand, four fingers,","(((unprofessional-bodies))), (((unprofessional-pose)))"
PX/NEG: Watermark,{prompt},"photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: 3D Monster,"(pixar|disney:1.2) monster surprise, perfect teeth, hilarious funny , yellow background .  {prompt}","disney, pixar, bad anatomy, photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding, photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: 3D,"(pixar|disney:1.2) style, 3D, {prompt}, color background, hilarious funny","disney, pixar, bad anatomy, photo-description"
AX: Cartoon,"{prompt}, crazy cartoon, style, stylized exaggerated, simplified","black, numbers"
AX: Painting,"{prompt}, a masterpiece, art style by, guache","(frame:1.4) photo, digital, 3d"
AX: Color Background,"{prompt} , {red background|yellow background|blue background|white background|green background|orange background}","photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: Mecha,"{prompt}, masterpiece, creature, straight-on, hard surface, bloom,science fiction,simple background,cable,robot joints,goggles,outlet,laser, gear, concept, accents","(headphones:1.2), hair, hair style, ironman, batman, design text"
AX: Kawaii,"kawaii style {prompt} . cute, adorable, brightly colored, cheerful, anime influence, highly detailed","dark, scary, realistic, monochrome, abstract"
AX: Chibi,"chibi style {prompt} . (pixar|disney:1.2), hilarious funny, dynamic","disney, pixar, bad anatomy, child. kid, person, girl, 1girl, photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: Manga,"old, {prompt} .  manga, shigeto koyama, narumi kakinouchi,jean giraud, anime, bright colors, beautiful, 28mm lens, vibrant high contrast, gradation, cinematic, rule of thirds, great composition, intricate, detailed, flat, matte print, sharp,clean lines, Ilya Kuvshinov"," silly unearthly being, paranoid android, mischievous, character sheet by Greg Rutkowski, Jason Artster, Moebius, Industrial Scifi, octane render, Greg Tran, WLOP"
AX: Posing,"{prompt} . solo, looking at viewer, naughty face, parted lips, blush, red light, neon light, cybepunk","drawn by bad-artist, sketch by bad-artist-anime, (bad_prompt:0.8), (artist name, signature, watermark:1.4), (ugly:1.2), (worst quality, poor details:1.4), blurry, child, loli, kids"
AX: Digital Art,"{prompt} .  digital art style, wide angle, balanced composition, golden ratio, triadic color, symmetry, hyper detailed, octane render",frame
AX: Digital Portrait,"{prompt} .  centered and symmetrical, digital painting by Rembrandt and Thomas Kinkade and Greg Rutkowski, 4k wallpaper, realistic, detailed facial features impressive hairstyle, perfect light contrast","evil teletubbies portrait, horror, very scary, black and white, scp foundation, digital art, concept art, trending on artstation  extremely sharp detail, finely detailed"
AX: Character Design,"charactersheet {prompt} . simple background, white background, masterpiece, best quality, highest quality, ultra detailed, 8k, 4k, intricate, full-body-shot, cowboy-shot, 50mm, highly detailed, detailed face, detailed_eyes,(gradients),(ambient light:1.3),(cinematic composition:1.3),HDR, accent lighting,extremely detailed,original, highres,(perfect_anatomy:1.2)","drawn by bad-artist, sketch by bad-artist-anime, (bad_prompt:0.8), (artist name, signature, watermark:1.4), (ugly:1.2), (worst quality, poor details:1.4), blurry, child, loli, kids"
AX: Poster Spy,"{prompt} . formal suit, full body, anime style, disney style anime fashion  fate dress is cute  gungsao-tae yoo best quality standard comic art photo bad art layout error, extra digit, drawn face","low quality, child, young, loli, 100degrees from lowres, bad focus, blurry and drown, pale purple hair monochrome pale grey scale pale shade Pinyin black"
AX: Cover,"{prompt} .  grinning, wearing a suit, posing, portrait surrounded by hibiscus flowers, jojo cover art, jojo anime style, david production, style of vento aureo cover art, style of stone ocean cover art, style of steel ball run cover art, style of jojolion cover art, ilya kuvshinov style, illustrated by hirohiko araki icalicagoru digigo musugizami ookomochiri anime omorami obichizari shaho Ako-ken","overdetailed art, colorful, artistic record jacket design, negative prompt, comic skirt, sketch"
AX: Portrait,"portrait of {prompt}  italian girl. funny hermit, anime fantasy illustration by tomoyuki yamasaki, kyoto studio, madhouse, ufotable, trending on artstation ilya kuvshinov J- Top rated Pixar key visual of Miyazaki characters","uv unwrapped texture map of human face albedo at-snoot, instagram profile photo"
AX: Selfie,"portrait of {prompt} . , off shoulder, selfie, long ginger hair,  person, masterpiece, best quality, absurdres, highres, 4k, ray tracing, perfect face, perfect eyes, intricate details, highly detailed","drawn by bad-artist, sketch by bad-artist-anime, (bad_prompt:0.8), (artist name, signature, watermark:1.4), (ugly:1.2), (worst quality, poor details:1.4), bad-hands, badhand, blurry, child, loli, kids"
AX: Typo,"typographic art {prompt} . stylized, intricate, detailed, artistic, text-based","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, dark, scary, realistic, monochrome, abstract"
AX: Concept,"concept art, digital artwork, illustrative, painterly, matte painting, highly detailed, {prompt} .  anime influence, highly detailed","(worst quality:2), (low quality:2), (normal quality:2), lowres, watermark"
AX: Arch,"concept art, digital artwork, illustrative, painterly, matte painting, highly detailed, {prompt} . detailed, spectacular, luxurious, elegance, perfect design, anime influence, highly detailed, harmonious color, horizontal decorative, competition, horizontal decoration, modern, vertical decoration, stacked volumes,","(worst quality:2), (low quality:2), (normal quality:2), lowres, watermark"
AX: Vivid Fantasy,"{prompt} extreme plus resolution fantasy concept art, intricate details to everything visible, sharp lighting, dramatic light by, strong emphasis on, digital illustration painting, 8k resolution, vivid colors","deformed, glitch, noisy, low contrast, anime, photorealistic"
AX: Sci-fi,"{prompt} pixar sci - fi movie by weta, marvel, maxim magazine cover,  unreal engine, sunburn, iridescent, bright morning,  mappa, high","richly detailed colored pencil 3D illustration , basic background,  mirrored background, completely rendered reflections, photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding"
AX: Horror,"{prompt} . in style of mansion o madness wallpaper, dramatic, heroic, fear, insane, terrific, insane, illustration, particles, by asher brown durand, by yoshitaka amano, fantasy digital art, colorfull, bokeh effect  blurout, orange background,  absurd beauty illustration, full skin depth","long kose irani ,hyper detailed, (realisticdigital art:1.37),trending on Artstation awesome high definition dynamic angle painting cinematic photoket best best sharp, 1boygirl child face child virtualism photopad par lillic, dynamic painting a long amount lower dynamic angle, child toddler small realistic hyper intricate and hyper original fine detail, ultra dramatic masterpiece highlyill detailed stunning, cinematic beautiful detailed realistic extremely detailed eyes realistic long coat medium large breast and eyes perfect anatomy cinematic shadow perfect focus motion photo dynamic depth image exquisite detail beautiful star pupil amazing detailed star crown in realistic"
AX: Arkham," in style of mansion o madness wallpaper, {prompt} . 1 8 century, arkham horror, tentacles, evil fluid,  lovecraft illustration, orange background, orange foreground blown hair, black eyes looking up at wearer blush looking with half filled expression of fear eye on dramatic, heroic, fear, insane, terrific, particles, by asher brown durand, by yoshitaka amano, fantasy digital art, colorfull, bokeh effect blurout, absurd beauty illustration,  full skin depth","long illustration, rim light, atmospheric lighting, perfectly shaded, soft painting, art by krenz cushart and wenjun lin  ute kreibensharakurakushu art print version solo (portrait:1.19) see full creative history full colour beautiful marida bloom eyes marizuba marizao street artist with light body mariu yakura akinyobisa wyomi photopan lanyard boba durembin nokiv nakulugitaka na akinyom shoddyosh shruz. loli"
AX/NEG: Long,{prompt},"(ugly face:0.8), cross-eyed, (worst quality:2), (low quality:2), (normal quality:2), lowres, child, loli, kids, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, bad anatomy,  facing away, tilted head, {Multiple people}, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worstquality, jpegartifacts, signature, watermark, username, blurry, bad feet, poorly drawn hands, poorly drawn face, mutation, deformed, extra fingers, extra limbs, extra arms, extra legs, malformed limbs, fused fingers, too many fingers, long neck, mutated hands, polar lowres, missing arms, missing legs, extra foot, cleavage, ((repeating hair)), ((cat ears)), ((multiple hands)), ((gloves))"
AX/NEG: Ultra,{prompt},"photo-description, brand, right, name, logo, imprint, copyright, watermark, text, white text, signature, downloaded, company-branding, child, loli, kids"
CX: Dynamic,"{prompt}, character portrait, Foreshortening, Distorted Perspective, Dynamic",
CX: Energetic,"character photo portrait, Diagonals, Dynamic Lines, Energetic Composition, simple background, {prompt}","lines, geometry"
CX: Emphasis,"character photo portrait, Texture Emphasis, Tactile Quality, Surface Detail, {prompt}",
CX: Character,"{prompt}, Character Portraiture, Emphasis on Facial Features, Expressive Detail, photography",
CX: Close,"{prompt}, Character Study, Close-Up, Detailed Examination, photography",
CX: Distinct,"{prompt}, Contrasting Character Elements, Distinct features, visual impact, emphasis on differences, photography",
CX: Movement,"{prompt}, Dynamic Character Motion, Dynamic poses, conveying movement and energy, photography",
CX: Harmony,"character photo portrait, Color Harmony, Pleasing Colors, Balanced Palette, {prompt}",
CX: Interest,"character photo portrait, Contrast, Emphasized Differences, Visual Interest, {prompt}",
CX: Strong,"character photo portrait, dutch angle, lush landscape, characters, strong inventive artistic figural composition, {prompt}",
CX: Clear,"character photo portrait, Open Composition, Expansive, No Clear Boundaries, {prompt}",
CX: Chiaroscuro,"{prompt}, character color photo portrait, Mise-en-scène, Staged Scene, Thoughtful Arrangement, Chiaroscuro, Strong Light and Shadow, Dramatic Contrast",
CX: Low-Key,"character photo portrait, Low-Key Lighting, Dramatic Shadows, Focused Illumination, {prompt}",
CX: Backlit,"{prompt}, backlit, miasmatic vapors mist, simple background, key visual, hdr, simple background, by, form,","masterpiece, painting, bad composition, blurry image, low quality, (low-res), bad quality, masterpiece, innatural, twisted, anatomy, stretched, stretching"
CX: Composition,"{prompt}, inventive artistic figural composition",
CX: POV,"character photo portrait, Point-of-View Shot, Character Perspective, Immersion, {prompt}",
CX: High-Angle,"character photo portrait, High-Angle Shot, Vulnerability, Subordination, {prompt}",
CX: Low-Angle,"character photo portrait, Low-Angle Shot, Empowerment, Authority, {prompt}",
CX: Minimal,"character photo portrait, Minimalist Composition, Simplified Elements, Subtle Details, {prompt}",
CX: Dark,"Dark atmosphere, deep shadows, lack of light, Macro, deep background, {prompt} curve line lean form.",
CX: Close-Up,"character photo portrait, Close-Up, Intimacy, Detailed Facial Expressions, {prompt}",
CX: Context,"Establishing Shot, Context, Setting Introduction, {prompt}",
CX: Shoulder,"{prompt}, Over-the-Shoulder Shot, Perspective, Subjective View",
CX: Panorama,"{prompt}, Panorama Stitching, Wide View, Comprehensive Landscape",
CX: Dolly,"{prompt}, Dolly Zoom (Vertigo Effect), Perspective Distortion, Emotional Impact",
CX: Macro,"Macro Photography, Extreme Close-Up, Detailed Exploration, {prompt}",
CX: Pair,"{prompt}, character photo portrait, Two-Shot, Pairing, Relationship Dynamics,",
CX: Interaction,"{prompt}, character photo portrait",Shot Reverse Shot
CX: Group Fusion,"{prompt}, Character Fusion, Blended Forms, Symbolic Unity, photography",
CX: Card,"tarot card, front perspective, black background, flat, frame, square, white outline , {prompt}",
CX: Abstract,"abstract {prompt} painting, bright yellow AND deep blue color palette, curve, circle, ellipse, core, AK, abstract, deconstruction, geometry, geometric composition,paint painting,harmonious colors, black frame,rectangle, tilt, flat painting, framex, horizontal",
CX: Abstract2,"abstract {prompt} painting, bright yellow and deep red color palette, curve, circle, ellipse, core, AK, abstract, deconstruction, geometry, geometric composition,paint painting,harmonious colors, black frame,rectangle, tilt, flat painting, framex, horizontal",
